Animal,Animal_path,Camera,UAV_path,Speed,Bias,Total_hits,Actual_hits
reef,straight,garmin,lawnmower,1,yes,7,2
reef,straight,garmin,lawnmower,1,no,7,2
reef,straight,garmin,lawnmower,2,yes,9,2
reef,straight,garmin,lawnmower,2,no,7,2
reef,straight,garmin,figure8,1,yes,0,0
reef,straight,garmin,figure8,1,no,0,0
reef,straight,garmin,figure8,2,yes,0,0
reef,straight,garmin,figure8,2,no,0,0
reef,straight,sony,lawnmower,1,yes,0,0
reef,straight,sony,lawnmower,1,no,0,0
reef,straight,sony,lawnmower,2,yes,0,0
reef,straight,sony,lawnmower,2,no,0,0
reef,straight,sony,figure8,1,yes,0,0
reef,straight,sony,figure8,1,no,0,0
reef,straight,sony,figure8,2,yes,0,0
reef,straight,sony,figure8,2,no,0,0
reef,straight,nadir,lawnmower,1,yes,11,2
reef,straight,nadir,lawnmower,1,no,9,2
reef,straight,nadir,lawnmower,2,yes,10,2
reef,straight,nadir,lawnmower,2,no,10,2
reef,straight,nadir,figure8,1,yes,0,0
reef,straight,nadir,figure8,1,no,0,0
reef,straight,nadir,figure8,2,yes,0,0
reef,straight,nadir,figure8,2,no,0,0
reef,stop25,garmin,lawnmower,1,yes,6,2
reef,stop25,garmin,lawnmower,1,no,7,2
reef,stop25,garmin,lawnmower,2,yes,8,2
reef,stop25,garmin,lawnmower,2,no,8,2
reef,stop25,garmin,figure8,1,yes,0,0
reef,stop25,garmin,figure8,1,no,0,0
reef,stop25,garmin,figure8,2,yes,0,0
reef,stop25,garmin,figure8,2,no,0,0
reef,stop25,sony,lawnmower,1,yes,0,0
reef,stop25,sony,lawnmower,1,no,0,0
reef,stop25,sony,lawnmower,2,yes,0,0
reef,stop25,sony,lawnmower,2,no,0,0
reef,stop25,sony,figure8,1,yes,0,0
reef,stop25,sony,figure8,1,no,0,0
reef,stop25,sony,figure8,2,yes,0,0
reef,stop25,sony,figure8,2,no,0,0
reef,stop25,nadir,lawnmower,1,yes,10,2
reef,stop25,nadir,lawnmower,1,no,11,2
reef,stop25,nadir,lawnmower,2,yes,10,2
reef,stop25,nadir,lawnmower,2,no,11,2
reef,stop25,nadir,figure8,1,yes,0,0
reef,stop25,nadir,figure8,1,no,0,0
reef,stop25,nadir,figure8,2,yes,0,0
reef,stop25,nadir,figure8,2,no,0,0
reef,stop50,garmin,lawnmower,1,yes,7,2
reef,stop50,garmin,lawnmower,1,no,7,2
reef,stop50,garmin,lawnmower,2,yes,7,2
reef,stop50,garmin,lawnmower,2,no,8,2
reef,stop50,garmin,figure8,1,yes,0,0
reef,stop50,garmin,figure8,1,no,0,0
reef,stop50,garmin,figure8,2,yes,0,0
reef,stop50,garmin,figure8,2,no,0,0
reef,stop50,sony,lawnmower,1,yes,0,0
reef,stop50,sony,lawnmower,1,no,0,0
reef,stop50,sony,lawnmower,2,yes,0,0
reef,stop50,sony,lawnmower,2,no,0,0
reef,stop50,sony,figure8,1,yes,0,0
reef,stop50,sony,figure8,1,no,0,0
reef,stop50,sony,figure8,2,yes,0,0
reef,stop50,sony,figure8,2,no,0,0
reef,stop50,nadir,lawnmower,1,yes,10,2
reef,stop50,nadir,lawnmower,1,no,9,2
reef,stop50,nadir,lawnmower,2,yes,10,2
reef,stop50,nadir,lawnmower,2,no,11,2
reef,stop50,nadir,figure8,1,yes,0,0
reef,stop50,nadir,figure8,1,no,0,0
reef,stop50,nadir,figure8,2,yes,0,0
reef,stop50,nadir,figure8,2,no,0,0
reef,stop75,garmin,lawnmower,1,yes,7,2
reef,stop75,garmin,lawnmower,1,no,7,2
reef,stop75,garmin,lawnmower,2,yes,9,2
reef,stop75,garmin,lawnmower,2,no,7,2
reef,stop75,garmin,figure8,1,yes,0,0
reef,stop75,garmin,figure8,1,no,0,0
reef,stop75,garmin,figure8,2,yes,0,0
reef,stop75,garmin,figure8,2,no,0,0
reef,stop75,sony,lawnmower,1,yes,0,0
reef,stop75,sony,lawnmower,1,no,0,0
reef,stop75,sony,lawnmower,2,yes,0,0
reef,stop75,sony,lawnmower,2,no,0,0
reef,stop75,sony,figure8,1,yes,0,0
reef,stop75,sony,figure8,1,no,0,0
reef,stop75,sony,figure8,2,yes,0,0
reef,stop75,sony,figure8,2,no,0,0
reef,stop75,nadir,lawnmower,1,yes,11,2
reef,stop75,nadir,lawnmower,1,no,11,2
reef,stop75,nadir,lawnmower,2,yes,11,2
reef,stop75,nadir,lawnmower,2,no,10,2
reef,stop75,nadir,figure8,1,yes,0,0
reef,stop75,nadir,figure8,1,no,0,0
reef,stop75,nadir,figure8,2,yes,0,0
reef,stop75,nadir,figure8,2,no,0,0
reef,random60,garmin,lawnmower,1,yes,0,0
reef,random60,garmin,lawnmower,1,no,0,0
